Trending_days,Publish_Time,Category_id
1,15,25
1,14,24
1,6,24
1,14,24
1,13,28
1,20,17
1,9,10
1,13,24
1,14,28
1,17,10
1,20,26
1,15,22
1,20,26
1,4,25
1,9,26
1,9,26
1,23,24
1,5,17
1,11,17
1,11,17
1,12,17
1,11,17
1,11,17
1,11,17
1,11,17
1,9,28
1,17,23
1,1,25
1,13,24
1,23,28
1,20,24
1,23,15
1,16,23
1,3,23
1,15,10
1,10,24
1,6,24
1,8,24
1,15,22
1,17,24
1,5,24
1,2,17
1,18,28
1,0,24
1,15,10
1,10,23
1,16,20
1,12,17
1,12,23
1,7,17
1,16,28
1,3,22
1,1,22
1,12,25
1,14,24
1,8,24
1,16,26
1,13,25
1,14,24
1,11,23
1,11,23
1,20,23
1,18,22
1,13,28
1,2,28
1,3,23
1,14,24
1,13,24
1,20,24
1,19,24
1,8,1
1,22,24
1,12,10
1,17,24
1,13,24
1,13,17
1,4,24
1,16,17
1,14,24
1,8,24
1,11,24
1,14,24
1,20,24
1,4,24
1,14,24
1,14,24
1,4,17
1,22,22
1,17,25
1,15,25
1,7,28
1,17,24
1,19,24
1,8,24
1,18,27
1,16,26
1,23,25
1,22,22
1,14,24
1,16,22
1,5,10
1,20,23
1,5,23
1,16,10
1,19,24
1,16,26
1,0,23
1,23,24
1,10,23
1,16,26
1,20,10
1,13,25
1,17,24
1,11,15
1,12,23
1,9,2
1,16,25
1,6,24
1,13,25
1,17,28
1,2,22
1,2,24
1,5,24
1,17,26
1,18,24
1,14,24
1,22,17
1,1,22
1,23,24
1,5,23
1,6,17
1,18,26
1,3,17
1,22,24
1,22,24
1,5,24
1,11,23
1,6,23
1,11,24
1,20,24
1,21,10
1,11,25
1,15,28
1,21,10
1,14,24
1,16,24
1,0,24
1,0,23
1,16,22
1,14,27
1,11,23
1,20,27
1,18,24
1,2,24
1,18,26
1,4,28
1,20,17
1,4,25
1,18,28
1,0,27
1,0,28
1,9,29
1,20,25
1,10,23
1,14,24
1,1,17
1,15,25
1,8,24
1,15,17
1,18,24
1,9,24
1,11,23
1,13,1
1,5,17
1,11,23
1,17,25
1,16,24
1,1,24
1,14,24
1,13,17
1,13,24
1,2,17
1,12,24
1,3,10
1,16,17
1,16,23
1,20,2
1,8,24
1,3,17
1,20,26
1,17,10
1,3,23
1,5,24
1,6,24
1,16,24
1,17,23
1,7,1
1,10,1
1,20,25
1,14,24
1,9,24
1,7,1
1,4,17
1,16,10
1,1,17
1,14,24
1,14,24
1,13,24
1,4,23
1,19,10
1,14,10
1,19,26
1,14,25
1,19,17
1,16,24
1,15,24
1,15,1
1,13,28
1,22,24
1,17,28
1,13,25
1,3,26
1,19,28
1,1,17
1,15,25
1,12,17
1,15,24
1,6,24
1,18,1
1,3,17
1,20,24
1,22,19
1,15,17
1,15,17
1,11,23
1,11,19
1,16,25
1,13,25
1,20,24
1,3,20
1,14,1
1,3,17
1,18,25
1,15,28
1,2,24
1,19,24
1,8,28
1,0,17
1,5,23
1,1,23
1,22,22
1,18,24
1,16,1
1,7,25
1,19,24
1,4,17
1,17,22
1,22,28
1,11,23
1,19,28
1,18,22
1,15,24
1,12,25
1,12,23
1,17,24
1,10,23
1,11,24
1,0,24
1,13,10
1,3,23
1,16,26
1,17,22
1,7,24
1,17,24
1,2,29
1,5,25
1,4,17
1,16,22
1,2,25
1,15,24
1,14,27
1,17,19
1,16,26
1,20,19
1,22,24
1,14,25
1,19,19
1,12,25
1,15,26
1,0,24
1,16,26
1,22,26
1,19,26
1,19,26
1,14,25
1,13,25
1,21,27
1,13,24
1,12,28
1,16,28
1,16,26
1,18,24
1,16,26
1,23,22
1,19,22
1,18,22
1,21,24
1,3,22
1,16,26
1,0,25
1,16,22
1,22,24
1,16,22
1,17,23
1,2,24
1,5,10
1,12,23
1,17,28
1,4,10
1,15,2
1,17,28
1,4,17
1,10,24
1,14,26
1,21,25
1,17,23
1,13,24
1,20,25
1,14,24
1,13,27
1,8,24
1,5,10
1,6,24
1,21,24
1,23,22
1,2,24
1,6,24
1,11,24
1,6,17
1,4,17
1,4,17
1,5,17
1,17,24
1,10,24
1,9,24
1,13,23
1,19,24
1,13,25
1,5,17
1,11,24
1,14,24
1,15,24
1,21,17
